                         By the Name of Allah
                  Islamic Crescents' Observation Project
                   Accurate Times 5.3, By Mohammad Odeh

* Settings:-
- Prayer times from:  01/08/2019 CE   To:  31/08/2020 CE
- NIGERIA Abuja, Long: 07:27:23.0, Lat: 09:03:16.0, Ele:460.0, Zone:1.00
- No Summer Time.
- Height above mean sea-level affects rise  and  set events.
- Subtract Fajer: 0 Min, Add Dhohur: 0 Min, Add Asr: 0 Min, Add Maghreb: 0 Min
- Fajer Angle: 18.5 ,  Isha Angle: 19 
- Refraction Settings: Temperature: 10 °C   Pressure: 1010 mb
- Mazhab:  Standard
- City Settings: 0 Km.
- Delta T: 71.7 Second(s)
=======================================================================

  Date         Fajer    Shuroq     Dhohur    Aser     Maghreb    Isha
              B. Twi.   Sunrise    Transit   -----    Sunset    E. Twi.

01/08/2019     05:05     06:18     12:37     15:56     18:55     20:10
02/08/2019     05:05     06:18     12:36     15:56     18:55     20:10
03/08/2019     05:05     06:18     12:36     15:55     18:55     20:10
04/08/2019     05:05     06:18     12:36     15:55     18:54     20:09
05/08/2019     05:06     06:18     12:36     15:54     18:54     20:09

06/08/2019     05:06     06:18     12:36     15:54     18:54     20:08
07/08/2019     05:06     06:18     12:36     15:53     18:53     20:08
08/08/2019     05:06     06:19     12:36     15:52     18:53     20:07
09/08/2019     05:07     06:19     12:36     15:52     18:53     20:07
10/08/2019     05:07     06:19     12:36     15:51     18:52     20:06

11/08/2019     05:07     06:19     12:35     15:50     18:52     20:06
12/08/2019     05:07     06:19     12:35     15:50     18:52     20:05
13/08/2019     05:07     06:19     12:35     15:49     18:51     20:05
14/08/2019     05:07     06:19     12:35     15:48     18:51     20:04
15/08/2019     05:08     06:19     12:35     15:48     18:50     20:04

16/08/2019     05:08     06:19     12:35     15:47     18:50     20:03
17/08/2019     05:08     06:19     12:34     15:46     18:50     20:03
18/08/2019     05:08     06:19     12:34     15:45     18:49     20:02
19/08/2019     05:08     06:19     12:34     15:44     18:49     20:02
20/08/2019     05:08     06:19     12:34     15:43     18:48     20:01

21/08/2019     05:08     06:19     12:33     15:42     18:48     20:00
22/08/2019     05:08     06:19     12:33     15:42     18:47     20:00
23/08/2019     05:08     06:19     12:33     15:41     18:47     19:59
24/08/2019     05:08     06:19     12:33     15:40     18:46     19:59
25/08/2019     05:09     06:19     12:32     15:39     18:46     19:58

26/08/2019     05:09     06:19     12:32     15:38     18:45     19:57
27/08/2019     05:09     06:19     12:32     15:36     18:45     19:57
28/08/2019     05:09     06:19     12:31     15:35     18:44     19:56
29/08/2019     05:09     06:19     12:31     15:34     18:44     19:55
30/08/2019     05:09     06:19     12:31     15:33     18:43     19:55

31/08/2019     05:09     06:19     12:31     15:34     18:43     19:54
01/09/2019     05:09     06:18     12:30     15:34     18:42     19:54
02/09/2019     05:09     06:18     12:30     15:34     18:41     19:53
03/09/2019     05:09     06:18     12:30     15:35     18:41     19:52
04/09/2019     05:09     06:18     12:29     15:35     18:40     19:52

05/09/2019     05:09     06:18     12:29     15:35     18:40     19:51
06/09/2019     05:09     06:18     12:29     15:35     18:39     19:50
07/09/2019     05:09     06:18     12:28     15:35     18:39     19:50
08/09/2019     05:09     06:18     12:28     15:36     18:38     19:49
09/09/2019     05:09     06:18     12:28     15:36     18:37     19:48

10/09/2019     05:09     06:18     12:27     15:36     18:37     19:48
11/09/2019     05:09     06:18     12:27     15:36     18:36     19:47
12/09/2019     05:09     06:17     12:27     15:36     18:36     19:46
13/09/2019     05:08     06:17     12:26     15:36     18:35     19:46
14/09/2019     05:08     06:17     12:26     15:37     18:34     19:45

