                         By the Name of Allah
                  Islamic Crescents' Observation Project
                   Accurate Times 5.3, By Mohammad Odeh

* Settings:-
- Prayer times from:  01/08/2019 CE   To:  31/08/2020 CE
- NIGERIA Akure, Long: 05:18:00.0, Lat: 07:16:00.0, Ele:0.0, Zone:1.00
- No Summer Time.
- Height above mean sea-level affects rise  and  set events.
- Subtract Fajer: 0 Min, Add Dhohur: 0 Min, Add Asr: 0 Min, Add Maghreb: 0 Min
- Fajer Angle: 18.5 ,  Isha Angle: 19 
- Refraction Settings: Temperature: 10 °C   Pressure: 1010 mb
- Mazhab:  Standard
- City Settings: 0 Km.
- Delta T: 71.7 Second(s)
=======================================================================

  Date         Fajer    Shuroq     Dhohur    Aser     Maghreb    Isha
              B. Twi.   Sunrise    Transit   -----    Sunset    E. Twi.

01/08/2019     05:16     06:32     12:45     16:06     18:58     20:16
02/08/2019     05:17     06:32     12:45     16:06     18:58     20:16
03/08/2019     05:17     06:32     12:45     16:05     18:58     20:15
04/08/2019     05:17     06:32     12:45     16:05     18:57     20:15
05/08/2019     05:17     06:32     12:45     16:04     18:57     20:15

06/08/2019     05:17     06:32     12:45     16:04     18:57     20:14
07/08/2019     05:17     06:33     12:45     16:03     18:57     20:14
08/08/2019     05:18     06:33     12:44     16:03     18:56     20:13
09/08/2019     05:18     06:33     12:44     16:02     18:56     20:13
10/08/2019     05:18     06:33     12:44     16:01     18:56     20:12

11/08/2019     05:18     06:33     12:44     16:01     18:55     20:12
12/08/2019     05:18     06:33     12:44     16:00     18:55     20:12
13/08/2019     05:18     06:33     12:44     15:59     18:55     20:11
14/08/2019     05:18     06:33     12:44     15:59     18:54     20:11
15/08/2019     05:19     06:33     12:43     15:58     18:54     20:10

16/08/2019     05:19     06:33     12:43     15:57     18:54     20:10
17/08/2019     05:19     06:33     12:43     15:57     18:53     20:09
18/08/2019     05:19     06:32     12:43     15:56     18:53     20:09
19/08/2019     05:19     06:32     12:42     15:55     18:52     20:08
20/08/2019     05:19     06:32     12:42     15:54     18:52     20:08

21/08/2019     05:19     06:32     12:42     15:53     18:52     20:07
22/08/2019     05:19     06:32     12:42     15:52     18:51     20:06
23/08/2019     05:19     06:32     12:41     15:52     18:51     20:06
24/08/2019     05:19     06:32     12:41     15:51     18:50     20:05
25/08/2019     05:19     06:32     12:41     15:50     18:50     20:05

26/08/2019     05:19     06:32     12:41     15:49     18:49     20:04
27/08/2019     05:19     06:32     12:40     15:48     18:49     20:04
28/08/2019     05:19     06:32     12:40     15:47     18:48     20:03
29/08/2019     05:19     06:32     12:40     15:46     18:48     20:02
30/08/2019     05:19     06:32     12:40     15:45     18:47     20:02

31/08/2019     05:19     06:31     12:39     15:44     18:47     20:01
01/09/2019     05:19     06:31     12:39     15:43     18:46     20:01
02/09/2019     05:19     06:31     12:39     15:42     18:46     20:00
03/09/2019     05:19     06:31     12:38     15:40     18:45     20:00
04/09/2019     05:19     06:31     12:38     15:40     18:45     19:59

05/09/2019     05:19     06:31     12:38     15:40     18:44     19:58
06/09/2019     05:19     06:31     12:37     15:40     18:44     19:58
07/09/2019     05:19     06:30     12:37     15:41     18:43     19:57
08/09/2019     05:19     06:30     12:37     15:41     18:43     19:57
09/09/2019     05:18     06:30     12:36     15:41     18:42     19:56

10/09/2019     05:18     06:30     12:36     15:41     18:42     19:55
11/09/2019     05:18     06:30     12:36     15:42     18:41     19:55
12/09/2019     05:18     06:30     12:35     15:42     18:41     19:54
13/09/2019     05:18     06:30     12:35     15:42     18:40     19:54
14/09/2019     05:18     06:29     12:34     15:42     18:39     19:53

