                         By the Name of Allah
                  Islamic Crescents' Observation Project
                   Accurate Times 5.3, By Mohammad Odeh

* Settings:-
- Prayer times from:  01/08/2019 CE   To:  31/08/2020 CE
- NIGERIA Ibadan Apata, Long: 07:23:11.6, Lat: 03:50:13.2, Ele:171.0, Zone:1.00
- No Summer Time.
- Height above mean sea-level affects rise  and  set events.
- Subtract Fajer: 0 Min, Add Dhohur: 0 Min, Add Asr: 0 Min, Add Maghreb: 0 Min
- Fajer Angle: 18.5 ,  Isha Angle: 19 
- Refraction Settings: Temperature: 10 °C   Pressure: 1010 mb
- Mazhab:  Standard
- City Settings: 0 Km.
- Delta T: 71.7 Second(s)
=======================================================================

  Date         Fajer    Shuroq     Dhohur    Aser     Maghreb    Isha
              B. Twi.   Sunrise    Transit   -----    Sunset    E. Twi.

01/08/2019     05:13     06:26     12:37     15:59     18:47     20:02
02/08/2019     05:13     06:26     12:37     15:59     18:47     20:02
03/08/2019     05:14     06:26     12:37     15:58     18:47     20:02
04/08/2019     05:14     06:26     12:37     15:58     18:47     20:02
05/08/2019     05:14     06:26     12:36     15:58     18:47     20:01

06/08/2019     05:14     06:26     12:36     15:57     18:46     20:01
07/08/2019     05:14     06:26     12:36     15:57     18:46     20:01
08/08/2019     05:14     06:26     12:36     15:56     18:46     20:00
09/08/2019     05:14     06:26     12:36     15:56     18:46     20:00
10/08/2019     05:14     06:26     12:36     15:55     18:45     20:00

11/08/2019     05:14     06:26     12:36     15:55     18:45     19:59
12/08/2019     05:14     06:26     12:36     15:54     18:45     19:59
13/08/2019     05:14     06:26     12:35     15:54     18:45     19:58
14/08/2019     05:14     06:26     12:35     15:53     18:44     19:58
15/08/2019     05:14     06:26     12:35     15:53     18:44     19:58

16/08/2019     05:14     06:26     12:35     15:52     18:44     19:57
17/08/2019     05:14     06:26     12:35     15:51     18:44     19:57
18/08/2019     05:14     06:25     12:34     15:51     18:43     19:56
19/08/2019     05:14     06:25     12:34     15:50     18:43     19:56
20/08/2019     05:14     06:25     12:34     15:49     18:43     19:55

21/08/2019     05:14     06:25     12:34     15:49     18:42     19:55
22/08/2019     05:14     06:25     12:33     15:48     18:42     19:55
23/08/2019     05:14     06:25     12:33     15:47     18:41     19:54
24/08/2019     05:14     06:25     12:33     15:46     18:41     19:54
25/08/2019     05:14     06:24     12:33     15:46     18:41     19:53

26/08/2019     05:14     06:24     12:32     15:45     18:40     19:53
27/08/2019     05:14     06:24     12:32     15:44     18:40     19:52
28/08/2019     05:14     06:24     12:32     15:43     18:40     19:52
29/08/2019     05:14     06:24     12:31     15:42     18:39     19:51
30/08/2019     05:13     06:24     12:31     15:41     18:39     19:51

31/08/2019     05:13     06:23     12:31     15:40     18:38     19:50
01/09/2019     05:13     06:23     12:31     15:40     18:38     19:50
02/09/2019     05:13     06:23     12:30     15:39     18:37     19:49
03/09/2019     05:13     06:23     12:30     15:38     18:37     19:49
04/09/2019     05:13     06:22     12:30     15:37     18:37     19:48

05/09/2019     05:13     06:22     12:29     15:36     18:36     19:48
06/09/2019     05:12     06:22     12:29     15:35     18:36     19:47
07/09/2019     05:12     06:22     12:29     15:34     18:35     19:47
08/09/2019     05:12     06:22     12:28     15:32     18:35     19:46
09/09/2019     05:12     06:21     12:28     15:31     18:34     19:46

10/09/2019     05:12     06:21     12:28     15:30     18:34     19:45
11/09/2019     05:12     06:21     12:27     15:29     18:33     19:45
12/09/2019     05:11     06:21     12:27     15:28     18:33     19:44
13/09/2019     05:11     06:20     12:26     15:27     18:33     19:44
14/09/2019     05:11     06:20     12:26     15:27     18:32     19:43

