                         By the Name of Allah
                  Islamic Crescents' Observation Project
                   Accurate Times 5.3, By Mohammad Odeh

* Settings:-
- Prayer times from:  01/08/2019 CE   To:  31/08/2020 CE
- NIGERIA Kaduna, Long: 07:26:00.0, Lat: 10:36:00.0, Ele:0.0, Zone:1.00
- No Summer Time.
- Height above mean sea-level affects rise  and  set events.
- Subtract Fajer: 0 Min, Add Dhohur: 0 Min, Add Asr: 0 Min, Add Maghreb: 0 Min
- Fajer Angle: 18.5 ,  Isha Angle: 19 
- Refraction Settings: Temperature: 10 °C   Pressure: 1010 mb
- Mazhab:  Standard
- City Settings: 0 Km.
- Delta T: 71.7 Second(s)
=======================================================================

  Date         Fajer    Shuroq     Dhohur    Aser     Maghreb    Isha
              B. Twi.   Sunrise    Transit   -----    Sunset    E. Twi.

01/08/2019     05:02     06:19     12:37     15:55     18:54     20:13
02/08/2019     05:02     06:19     12:37     15:55     18:54     20:13
03/08/2019     05:03     06:19     12:36     15:54     18:53     20:12
04/08/2019     05:03     06:20     12:36     15:54     18:53     20:12
05/08/2019     05:03     06:20     12:36     15:53     18:53     20:11

06/08/2019     05:04     06:20     12:36     15:52     18:53     20:11
07/08/2019     05:04     06:20     12:36     15:52     18:52     20:10
08/08/2019     05:04     06:20     12:36     15:51     18:52     20:10
09/08/2019     05:04     06:20     12:36     15:50     18:51     20:09
10/08/2019     05:04     06:20     12:36     15:50     18:51     20:09

11/08/2019     05:05     06:20     12:36     15:49     18:51     20:08
12/08/2019     05:05     06:20     12:35     15:48     18:50     20:08
13/08/2019     05:05     06:20     12:35     15:47     18:50     20:07
14/08/2019     05:05     06:21     12:35     15:47     18:49     20:07
15/08/2019     05:06     06:21     12:35     15:46     18:49     20:06

16/08/2019     05:06     06:21     12:35     15:45     18:48     20:05
17/08/2019     05:06     06:21     12:34     15:44     18:48     20:05
18/08/2019     05:06     06:21     12:34     15:43     18:48     20:04
19/08/2019     05:06     06:21     12:34     15:42     18:47     20:04
20/08/2019     05:06     06:21     12:34     15:41     18:47     20:03

21/08/2019     05:06     06:21     12:33     15:40     18:46     20:02
22/08/2019     05:07     06:21     12:33     15:39     18:45     20:02
23/08/2019     05:07     06:21     12:33     15:38     18:45     20:01
24/08/2019     05:07     06:21     12:33     15:37     18:44     20:00
25/08/2019     05:07     06:21     12:32     15:36     18:44     20:00

26/08/2019     05:07     06:21     12:32     15:36     18:43     19:59
27/08/2019     05:07     06:21     12:32     15:36     18:43     19:58
28/08/2019     05:07     06:21     12:32     15:36     18:42     19:58
29/08/2019     05:07     06:21     12:31     15:37     18:42     19:57
30/08/2019     05:07     06:21     12:31     15:37     18:41     19:56

31/08/2019     05:07     06:21     12:31     15:37     18:40     19:56
01/09/2019     05:08     06:21     12:30     15:37     18:40     19:55
02/09/2019     05:08     06:21     12:30     15:38     18:39     19:54
03/09/2019     05:08     06:21     12:30     15:38     18:39     19:54
04/09/2019     05:08     06:21     12:29     15:38     18:38     19:53

05/09/2019     05:08     06:21     12:29     15:38     18:37     19:52
06/09/2019     05:08     06:20     12:29     15:38     18:37     19:52
07/09/2019     05:08     06:20     12:28     15:38     18:36     19:51
08/09/2019     05:08     06:20     12:28     15:39     18:36     19:50
09/09/2019     05:08     06:20     12:28     15:39     18:35     19:49

10/09/2019     05:08     06:20     12:27     15:39     18:34     19:49
11/09/2019     05:08     06:20     12:27     15:39     18:34     19:48
12/09/2019     05:08     06:20     12:27     15:39     18:33     19:47
13/09/2019     05:08     06:20     12:26     15:39     18:32     19:47
14/09/2019     05:08     06:20     12:26     15:39     18:32     19:46

