                         By the Name of Allah
                  Islamic Crescents' Observation Project
                   Accurate Times 5.3, By Mohammad Odeh

* Settings:-
- Prayer times from:  01/08/2019 CE   To:  31/08/2020 CE
- NIGERIA Lagos, Long: 03:20:00.0, Lat: 06:35:00.0, Ele:0.0, Zone:1.00
- No Summer Time.
- Height above mean sea-level affects rise  and  set events.
- Subtract Fajer: 0 Min, Add Dhohur: 0 Min, Add Asr: 0 Min, Add Maghreb: 0 Min
- Fajer Angle: 18.5 ,  Isha Angle: 19 
- Refraction Settings: Temperature: 10 °C   Pressure: 1010 mb
- Mazhab:  Standard
- City Settings: 0 Km.
- Delta T: 71.7 Second(s)
=======================================================================

  Date         Fajer    Shuroq     Dhohur    Aser     Maghreb    Isha
              B. Twi.   Sunrise    Transit   -----    Sunset    E. Twi.

01/08/2019     05:25     06:41     12:53     16:14     19:05     20:23
02/08/2019     05:25     06:41     12:53     16:14     19:05     20:22
03/08/2019     05:26     06:41     12:53     16:13     19:05     20:22
04/08/2019     05:26     06:41     12:53     16:13     19:04     20:22
05/08/2019     05:26     06:41     12:53     16:12     19:04     20:21

06/08/2019     05:26     06:41     12:53     16:12     19:04     20:21
07/08/2019     05:26     06:41     12:52     16:11     19:04     20:21
08/08/2019     05:26     06:41     12:52     16:11     19:03     20:20
09/08/2019     05:27     06:41     12:52     16:10     19:03     20:20
10/08/2019     05:27     06:41     12:52     16:10     19:03     20:19

11/08/2019     05:27     06:41     12:52     16:09     19:03     20:19
12/08/2019     05:27     06:41     12:52     16:09     19:02     20:19
13/08/2019     05:27     06:41     12:52     16:08     19:02     20:18
14/08/2019     05:27     06:41     12:51     16:07     19:02     20:18
15/08/2019     05:27     06:41     12:51     16:07     19:01     20:17

16/08/2019     05:27     06:41     12:51     16:06     19:01     20:17
17/08/2019     05:27     06:41     12:51     16:05     19:00     20:16
18/08/2019     05:27     06:41     12:51     16:04     19:00     20:16
19/08/2019     05:27     06:41     12:50     16:04     19:00     20:15
20/08/2019     05:28     06:41     12:50     16:03     18:59     20:15

21/08/2019     05:28     06:41     12:50     16:02     18:59     20:14
22/08/2019     05:28     06:41     12:50     16:01     18:58     20:14
23/08/2019     05:28     06:41     12:49     16:00     18:58     20:13
24/08/2019     05:28     06:41     12:49     15:59     18:58     20:13
25/08/2019     05:28     06:40     12:49     15:59     18:57     20:12

26/08/2019     05:28     06:40     12:49     15:58     18:57     20:11
27/08/2019     05:28     06:40     12:48     15:57     18:56     20:11
28/08/2019     05:28     06:40     12:48     15:56     18:56     20:10
29/08/2019     05:28     06:40     12:48     15:55     18:55     20:10
30/08/2019     05:27     06:40     12:47     15:54     18:55     20:09

31/08/2019     05:27     06:40     12:47     15:53     18:54     20:09
01/09/2019     05:27     06:40     12:47     15:52     18:54     20:08
02/09/2019     05:27     06:39     12:46     15:51     18:53     20:07
03/09/2019     05:27     06:39     12:46     15:50     18:53     20:07
04/09/2019     05:27     06:39     12:46     15:48     18:52     20:06

05/09/2019     05:27     06:39     12:45     15:47     18:52     20:06
06/09/2019     05:27     06:39     12:45     15:47     18:51     20:05
07/09/2019     05:27     06:39     12:45     15:47     18:51     20:05
08/09/2019     05:27     06:38     12:44     15:47     18:50     20:04
09/09/2019     05:27     06:38     12:44     15:48     18:50     20:03

10/09/2019     05:27     06:38     12:44     15:48     18:49     20:03
11/09/2019     05:26     06:38     12:43     15:48     18:49     20:02
12/09/2019     05:26     06:38     12:43     15:48     18:48     20:02
13/09/2019     05:26     06:38     12:43     15:49     18:48     20:01
14/09/2019     05:26     06:37     12:42     15:49     18:47     20:00

